i,type,avg_length,avg_reward,avg_vc,avg_js_dist
0,wrl,4.485,-7.695,0.29,[0.52418765]
0,wrl,3.51,-3.31,0.245,[0.26886894]
0,wrl,8.88,-11.11,0.27,[0.41795601]
0,wrl,3.47,0.915,0.135,[0.24069815]
0,wrl,4.52,0.33,0.125,[0.38089445]
1,mdft,4.395,3.155,0.07,[0.45700033]
1,mdft,8.04,-8.065,0.225,[0.26555451]
1,mdft,4.635,-2.455,0.18,[0.26635242]
1,mdft,7.905,-7.205,0.21,[0.46098858]
1,mdft,58.455,-91.065,0.94,[0.69793527]
1,mdft,7.845,-19.47,0.46,[0.25688662]
1,mdft,4.62,0.425,0.12,[0.39957063]
1,mdft,5.485,0.86,0.095,[0.34604197]
1,mdft,4.545,-0.935,0.15,[0.30753503]
1,mdft,6.54,0.525,0.08,[0.44579697]
1,mdft,5.575,-0.21,0.145,[0.35002466]
1,mdft,4.715,-4.545,0.265,[0.25735681]
1,mdft,9.14,-11.865,0.28,[0.27746743]
1,mdft,6.505,-6.55,0.315,[0.42350586]
1,mdft,7.875,-2.51,0.115,[0.22742182]
1,mdft,5.425,1.9,0.075,[0.23760827]
1,mdft,4.44,1.895,0.095,[0.3667651]
1,mdft,11.11,-17.285,0.35,[0.38578251]
1,mdft,3.45,-2.25,0.2,[0.34765591]
1,mdft,8.78,-51.19,1.09,[0.48355163]
1,mdft,9.865,-9.155,0.21,[0.4281147]
1,mdft,7.805,-118.745,2.485,[0.3519493]
1,mdft,4.74,-6.735,0.265,[0.2466269]
1,mdft,14.71,-11.06,0.15,[0.283208]
1,mdft,8.89,-7.445,0.195,[0.43200526]
1,mdft,9.57,-36.095,0.76,[0.44094493]
1,mdft,8.055,-4.16,0.2,[0.21645085]
1,mdft,9.14,-120.655,2.48,[0.38691689]
1,mdft,3.565,0.8,0.135,[0.22039582]
1,mdft,5.63,-12.99,0.37,[0.36627368]
1,mdft,7.035,-30.135,0.725,[0.2804431]
1,mdft,7.87,-7.935,0.225,[0.35059669]
1,mdft,3.37,1.915,0.115,[0.39553138]
1,mdft,10.66,-60.695,1.245,[0.3685607]
1,mdft,5.475,2.34,0.065,[0.33358914]
1,mdft,4.475,-0.35,0.14,[0.44479144]
1,mdft,4.42,-4.305,0.22,[0.31491676]
1,mdft,5.895,-7.645,0.26,[0.38982247]
1,mdft,10.165,-5.785,0.135,[0.33077896]
1,mdft,13.355,-17.055,0.3,[0.3615814]
1,mdft,9.895,-14.095,0.31,[0.36942549]
1,mdft,6.985,-8.285,0.26,[0.30781113]
1,mdft,3.415,-39.77,0.95,[0.59868]
1,mdft,4.48,-9.06,0.315,[0.21361931]
1,mdft,15.585,-25.045,0.455,[0.35028134]
1,mdft,4.44,-2.26,0.18,[0.2071614]
1,mdft,8.635,-20.72,0.47,[0.30047729]
1,mdft,5.765,-7.285,0.255,[0.25815753]
1,mdft,6.61,-2.47,0.14,[0.25372703]
1,mdft,5.905,-15.015,0.41,[0.26149449]
1,mdft,3.35,-3.245,0.22,[0.17268674]
1,mdft,6.545,-67.335,1.445,[0.34211025]
1,mdft,9.175,-8.755,0.24,[0.3481345]
1,mdft,4.55,2.28,0.085,[0.28828473]
1,mdft,6.665,-0.81,0.105,[0.44490988]
1,mdft,3.39,-4.025,0.235,[0.18751279]
1,mdft,11.425,-55.14,1.1,[0.36453156]
1,mdft,6.71,-7.05,0.23,[0.25747584]
1,mdft,6.49,1.325,0.075,[0.52123357]
1,mdft,5.55,-8.655,0.285,[0.32140051]
1,mdft,3.425,-1.605,0.185,[0.24552906]
1,mdft,6.89,-3.485,0.155,[0.29233023]
1,mdft,5.345,-2.985,0.175,[0.2884817]
1,mdft,20.53,-20.065,0.255,[0.33005423]
1,mdft,7.815,-8.595,0.24,[0.3214067]
1,mdft,11.14,-8.5,0.17,[0.34037947]
1,mdft,4.485,0.145,0.13,[0.44636925]
1,mdft,3.32,7.435,0.005,[0.4307051]
1,mdft,8.955,-22.99,0.51,[0.24460182]
1,mdft,4.565,-3.855,0.21,[0.19800969]
1,mdft,10.25,-16.645,0.355,[0.20267145]
1,mdft,11.03,-17.205,0.35,[0.37492567]
1,mdft,4.45,-7.925,0.295,[0.20604429]
1,mdft,3.37,-1.075,0.175,[0.33993799]
1,mdft,3.44,-4.705,0.25,[0.29668948]
1,mdft,7.81,0.495,0.055,[0.38152058]
1,mdft,6.925,-3.275,0.15,[0.38205219]
1,mdft,8.595,-4.22,0.135,[0.37009258]
1,mdft,3.345,4.47,0.065,[0.26292771]
1,mdft,13.05,-15.77,0.28,[0.33588278]
1,mdft,6.73,-2.1,0.13,[0.27320331]
1,mdft,14.63,-18.085,0.34,[0.31738722]
1,mdft,4.695,-10.2,0.355,[0.20732528]
1,mdft,5.54,-1.19,0.135,[0.35450122]
1,mdft,7.025,-3.375,0.15,[0.22599515]
1,mdft,5.645,-0.08,0.115,[0.2677276]
1,mdft,15.8,-22.935,0.395,[0.22241528]
1,mdft,4.525,4.505,0.04,[0.39507238]
1,mdft,6.83,-51.735,1.12,[0.18789376]
1,mdft,5.575,-148.695,3.12,[0.49721713]
1,mdft,7.825,-1.48,0.095,[0.28866004]
1,mdft,4.73,-12.61,0.385,[0.41464814]
1,mdft,6.76,-5.32,0.195,[0.29804498]
1,mdft,4.565,-0.685,0.145,[0.32692166]
1,mdft,5.435,1.645,0.08,[0.34531855]
1,mdft,4.26,2.08,0.095,[0.43981501]
1,mdft,3.375,-0.305,0.17,[0.25899236]
1,mdft,8.845,-3.005,0.105,[0.42541766]
1,mdft,3.415,-0.255,0.16,[0.18052937]
1,mdft,4.575,3.97,0.05,[0.37859202]
1,wrl,4.485,-1.82,0.17,[0.45700033]
1,wrl,8.15,-9.915,0.26,[0.26555451]
1,wrl,4.73,-6.235,0.255,[0.26635242]
1,wrl,8.16,-15.79,0.38,[0.46098858]
1,wrl,10.325,-29.395,0.68,[0.69793527]
1,wrl,8.795,-24.86,0.55,[0.25688662]
1,wrl,4.6,-2.95,0.19,[0.39957063]
1,wrl,5.53,-5.315,0.22,[0.34604197]
1,wrl,4.755,-5.05,0.23,[0.30753503]
1,wrl,6.76,-2.895,0.145,[0.44579697]
1,wrl,5.655,-4.455,0.3,[0.35002466]
1,wrl,4.68,-6.92,0.34,[0.25735681]
1,wrl,9.39,-15.79,0.355,[0.27746743]
1,wrl,6.785,-7.545,0.305,[0.42350586]
1,wrl,7.93,-5.015,0.165,[0.22742182]
1,wrl,5.58,0.765,0.095,[0.23760827]
1,wrl,4.605,-3.175,0.195,[0.3667651]
1,wrl,11.14,-25.865,0.525,[0.38578251]
1,wrl,3.49,-9.64,0.35,[0.34765591]
1,wrl,9.32,-79.22,1.65,[0.48355163]
1,wrl,10.725,-18.595,0.385,[0.4281147]
1,wrl,7.125,-129.005,2.705,[0.3519493]
1,wrl,4.795,-5.085,0.23,[0.2466269]
1,wrl,15.95,-14.995,0.205,[0.283208]
1,wrl,8.8,-9.805,0.245,[0.43200526]
1,wrl,9.965,-14.9,0.325,[0.44094493]
1,wrl,7.955,-6.025,0.21,[0.21645085]
1,wrl,9.95,-94.0,1.935,[0.38691689]
1,wrl,3.545,0.58,0.14,[0.22039582]
1,wrl,5.57,0.765,0.095,[0.36627368]
1,wrl,7.09,-17.655,0.48,[0.2804431]
1,wrl,8.045,-5.14,0.165,[0.35059669]
1,wrl,3.595,-3.875,0.23,[0.39553138]
1,wrl,10.345,-77.63,1.595,[0.3685607]
1,wrl,5.655,1.915,0.07,[0.33358914]
1,wrl,4.665,-4.475,0.22,[0.44479144]
1,wrl,4.72,-8.23,0.295,[0.31491676]
1,wrl,5.76,-8.495,0.28,[0.38982247]
1,wrl,10.355,-7.44,0.165,[0.33077896]
1,wrl,13.71,-29.91,0.555,[0.3615814]
1,wrl,10.035,-17.91,0.385,[0.36942549]
1,wrl,7.435,-15.3,0.44,[0.30781113]
1,wrl,4.375,1.97,0.095,[0.59868]
1,wrl,4.72,-8.435,0.3,[0.21361931]
1,wrl,16.905,-25.76,0.435,[0.35028134]
1,wrl,4.57,-1.175,0.155,[0.2071614]
1,wrl,8.78,-19.87,0.45,[0.30047729]
1,wrl,5.61,-17.15,0.46,[0.25815753]
1,wrl,6.82,-5.62,0.2,[0.25372703]
1,wrl,5.945,-10.625,0.32,[0.26149449]
1,wrl,3.395,-1.51,0.185,[0.17268674]
1,wrl,6.77,-55.52,1.2,[0.34211025]
1,wrl,10.315,-14.765,0.33,[0.3481345]
1,wrl,4.635,1.46,0.1,[0.28828473]
1,wrl,7.07,-11.51,0.315,[0.44490988]
1,wrl,3.465,-5.295,0.26,[0.18751279]
1,wrl,12.96,-19.375,0.355,[0.36453156]
1,wrl,7.04,-11.525,0.315,[0.25747584]
1,wrl,7.095,-2.47,0.145,[0.52123357]
1,wrl,6.085,-9.555,0.295,[0.32140051]
1,wrl,3.485,-3.075,0.215,[0.24552906]
1,wrl,7.155,-5.97,0.2,[0.29233023]
1,wrl,5.315,-3.15,0.18,[0.2884817]
1,wrl,20.96,-30.785,0.485,[0.33005423]
1,wrl,8.005,-16.615,0.4,[0.3214067]
1,wrl,11.75,-17.45,0.34,[0.34037947]
1,wrl,4.585,-2.42,0.18,[0.44636925]
1,wrl,3.42,7.335,0.005,[0.4307051]
1,wrl,9.09,-12.58,0.295,[0.24460182]
1,wrl,4.675,-5.195,0.235,[0.19800969]
1,wrl,10.55,-17.925,0.375,[0.20267145]
1,wrl,10.995,-16.435,0.335,[0.37492567]
1,wrl,4.67,-7.205,0.275,[0.20604429]
1,wrl,3.555,4.745,0.055,[0.33993799]
1,wrl,3.465,-7.415,0.305,[0.29668948]
1,wrl,8.045,-4.415,0.15,[0.38152058]
1,wrl,7.63,-14.27,0.36,[0.38205219]
1,wrl,8.725,-9.25,0.235,[0.37009258]
1,wrl,3.465,-3.02,0.215,[0.26292771]
1,wrl,13.615,-21.24,0.38,[0.33588278]
1,wrl,7.42,-12.1,0.32,[0.27320331]
1,wrl,15.15,-20.325,0.405,[0.31738722]
1,wrl,4.585,-5.365,0.255,[0.20732528]
1,wrl,5.72,-5.295,0.215,[0.35450122]
1,wrl,7.315,-4.895,0.175,[0.22599515]
1,wrl,5.825,-2.67,0.17,[0.2677276]
1,wrl,16.52,-28.565,0.495,[0.22241528]
1,wrl,4.605,1.98,0.09,[0.39507238]
1,wrl,7.165,-63.065,1.345,[0.18789376]
1,wrl,5.76,-166.42,3.49,[0.49721713]
1,wrl,7.885,-6.69,0.2,[0.28866004]
1,wrl,4.73,-8.43,0.3,[0.41464814]
1,wrl,7.025,-11.215,0.31,[0.29804498]
